"id","display_name","vertical_display_name"
9,"Gifting Accessories","Unknown"
27,"Unknown Product Type","Unknown"
29,"Sets","Unknown"
56,"Equipment Gear","Unknown"
65,"Unprocessed","Unknown"
67,"Activewear Sets","Unknown"
126,"Unsupported","Unknown"
17,"Hats","Fashion"
18,"Scarves","Fashion"
35,"Watches","Fashion"
36,"Sunglasses","Fashion"
42,"Wallets","Fashion"
45,"Ties","Fashion"
46,"Cuff Links","Fashion"
47,"Belts","Fashion"
48,"Hair Accessories","Fashion"
49,"Gloves","Fashion"
50,"Umbrellas","Fashion"
64,"Key Chain","Fashion"
68,"Masks","Fashion"
0,"Dresses","Fashion"
1,"Tops","Fashion"
2,"Pants","Fashion"
3,"Outerwear","Fashion"
4,"Jeans","Fashion"
5,"Shorts","Fashion"
6,"Skirts","Fashion"
7,"Activewear Tops","Fashion"
19,"Activewear Outerwear","Fashion"
20,"Activewear Pants","Fashion"
21,"Activewear Dresses","Fashion"
22,"Activewear Shorts","Fashion"
23,"Activewear Skirts","Fashion"
28,"Rompers","Fashion"
33,"Robes","Fashion"
55,"Sweaters","Fashion"
12,"Bags","Fashion"
127,"Luggage And Accessories","Fashion"
30,"Underwear","Fashion"
31,"Bras","Fashion"
32,"Slips","Fashion"
43,"Shapewear","Fashion"
53,"Lingerie","Fashion"
13,"Necklaces","Fashion"
14,"Earrings","Fashion"
15,"Rings","Fashion"
16,"Bracelets","Fashion"
69,"Charms","Fashion"
70,"Jewelry Box","Fashion"
71,"Brooches Pins","Fashion"
34,"Maternity Belts","Fashion"
44,"Maternity Belly Bands","Fashion"
11,"Shoes","Fashion"
54,"Socks And Hosiery","Fashion"
51,"Swimwear Tops","Fashion"
52,"Swimwear Bottoms","Fashion"
37,"Cell Phone Grips","Fashion"
38,"Cell Phone Cases","Fashion"
39,"Cables Chargers","Fashion"
40,"Smartwatch Bands","Fashion"
41,"Headphones","Fashion"
72,"Tech Accessories","Fashion"
86,"Skincare","Beauty"
87,"Fragrance","Beauty"
88,"Lips","Beauty"
89,"Eyes","Beauty"
90,"Face","Beauty"
91,"Nails","Beauty"
92,"Brushes Tools","Beauty"
93,"Hair Care","Beauty"
94,"Hair Tools","Beauty"
95,"Bath And Body","Beauty"
96,"Spa Tools","Beauty"
97,"Home Fragrance","Beauty"
125,"Shaving And Beard","Beauty"
133,"Beauty Supplements","Beauty"
134,"Hair Removal And Grooming","Beauty"
73,"Pillows","Home"
74,"Sheets","Home"
75,"Rugs","Home"
76,"Dinnerware","Home"
77,"Drinkware","Home"
78,"Serveware","Home"
79,"Flatware","Home"
80,"Bar And Wine Accessories","Home"
81,"Table Linens","Home"
82,"Bedding Essentials","Home"
83,"Lighting","Home"
84,"Beds And Bedframes","Home"
85,"Mattresses","Home"
98,"Desks And Tables","Home"
99,"Chairs And Stools","Home"
100,"Decorative Accents","Home"
101,"Storage And Dresser","Home"
102,"Sectional And Sofa","Home"
103,"Towels And Mats","Home"
104,"Curtains And Window Treatments","Home"
105,"Curtain Hardware Accessories","Home"
106,"Bath Decor Accessories","Home"
107,"Mirrors And Wall Arts","Home"
108,"Room Dividers","Home"
109,"Jewelry Organizers","Home"
110,"Office And Desk Accessories","Home"
111,"Vases Bowls Trays","Home"
112,"Plants And Floral","Home"
113,"Holiday Ornaments And Decor","Home"
114,"Picture Frames","Home"
115,"Garden And Planters","Home"
116,"Outdoor Patio Accessories","Home"
117,"Bakeware","Home"
118,"Cookware","Home"
119,"Cutlery","Home"
120,"Gadgets And Tools","Home"
121,"Kitchen Electrics","Home"
122,"Outdoor Shades Greenhouses","Home"
123,"Containers Storage System","Home"
124,"Outdoor Garage Storage Units","Home"
128,"Books","Books"
129,"Games","Games"
130,"Personal Care","Health"
131,"Sexual Wellness","Health"
132,"Fitness Accessories","Health"
135,"Oral Care","Health"
